report_number	local_case_number	agency_name	acrs_report_type	crash_date_time	route_type	collision_type	weather	surface_condition	light	traffic_control	driver_substance_abuse	person_id	driver_at_fault	injury_severity	driver_distracted_by	vehicle_id	vehicle_damage_extent	vehicle_movement	speed_limit	driverless_vehicle	vehicle_year	vehicle_make	vehicle_model	equipment_problems	drivers_license_state	vehicle_body_type	non_motorist_substance_abuse
MCP3129005S	220054057	Montgomery County Police	Property Damage Crash	2022-12-07T12:59:00.000	Maryland (State)	SAME DIR REAR END	CLOUDY	WET	DAYLIGHT	NO CONTROLS	NONE DETECTED	7F1C3DCF-8F31-46D8-A9BE-CA28F788FDDA	No	NO APPARENT INJURY	NOT DISTRACTED	94F75620-4D82-47C7-A84E-4252B9067058	SUPERFICIAL	SLOWING OR STOPPING	35	No	2016	HOND	TK	OTHER	MD	PASSENGER CAR	UNKNOWN
MCP3129005S	220054057	Montgomery County Police	Property Damage Crash	2022-12-07T12:59:00.000	Maryland (State)	SAME DIR REAR END	CLOUDY	WET	DAYLIGHT	NO CONTROLS	NONE DETECTED	33AA2D72-2D44-4EA8-8D08-4AF00CCBB940	Yes	NO APPARENT INJURY	INATTENTIVE OR LOST IN THOUGHT	B84DA6F2-E46E-4435-9993-364B619F6C5F	FUNCTIONAL	SLOWING OR STOPPING	35	No	2011	NISSAN	SENTRA	OTHER	MD	PASSENGER CAR	UNKNOWN
EJ7895003D	220054054	Gaithersburg Police Depar	Property Damage Crash	2022-12-07T12:30:00.000	UNKNOWN	STRAIGHT MOVEMENT ANGLE	CLOUDY	OTHER	DAYLIGHT	NO CONTROLS	NONE DETECTED	5F112516-278D-483C-A2FE-FBC1794E433D	No	NO APPARENT INJURY	NOT DISTRACTED	B104A982-311A-49B3-9264-369FCC14F3DB	SUPERFICIAL	MOVING CONSTANT SPEED	5	No	2019	NISSAN	SD	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
EJ7895003D	220054054	Gaithersburg Police Depar	Property Damage Crash	2022-12-07T12:30:00.000	UNKNOWN	STRAIGHT MOVEMENT ANGLE	CLOUDY	OTHER	DAYLIGHT	NO CONTROLS	OTHER	63A6A887-B2EC-4F1B-8D82-7B0C9A612915	Yes	NO APPARENT INJURY	UNKNOWN	77D79659-B91D-402D-B2AC-0315883F95E3	OTHER	BACKING	5	No	2014	TOYOTA	CAMRY	OTHER	MD	PASSENGER CAR	UNKNOWN
MCP2965006G	220054048	Montgomery County Police	Property Damage Crash	2022-12-07T12:30:00.000	County	SINGLE VEHICLE	SLEET	WET	DAYLIGHT	NO CONTROLS	NONE DETECTED	F7FB4A7B-5AF9-4170-B8C4-15DDEF12CAF3	Yes	NO APPARENT INJURY	NOT DISTRACTED	566BAFF0-13B9-47A4-B148-C67832D0AC3A	DISABLING	SKIDDING	30	No	2009	NISSAN	4S	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2016006P	220054039	Montgomery County Police	Injury Crash	2022-12-07T11:53:00.000	Maryland (State)	SAME DIR REAR END	CLOUDY	WET	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	488FABB3-6A20-4291-B034-D9428F9EFE2F	No	NO APPARENT INJURY	NOT DISTRACTED	4C34C3A4-5F34-4231-A739-12EA4B5AC418	DISABLING	SLOWING OR STOPPING	40	No	2019	LEXU	TK	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP2016006P	220054039	Montgomery County Police	Injury Crash	2022-12-07T11:53:00.000	Maryland (State)	SAME DIR REAR END	CLOUDY	WET	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	F70A9BE3-8A1E-4373-879D-EF91A45514CF	No	NO APPARENT INJURY	NOT DISTRACTED	225EA1FD-9774-4F00-94F1-FF8432C15FA1	FUNCTIONAL	SLOWING OR STOPPING	40	No	2019	SUBA	TK	NO MISUSE	VA	PASSENGER CAR	UNKNOWN
MCP2016006P	220054039	Montgomery County Police	Injury Crash	2022-12-07T11:53:00.000	Maryland (State)	SAME DIR REAR END	CLOUDY	WET	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	84C4F9FB-B61E-4B55-832B-DE78FF47A47E	Yes	NO APPARENT INJURY	NOT DISTRACTED	E551218B-91BD-432E-8AC0-84AB8C56A027	DISABLING	MOVING CONSTANT SPEED	40	No	2015	TOYT	4S	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
MCP3042003Z	220054051	Montgomery County Police	Property Damage Crash	2022-12-07T11:50:00.000	UNKNOWN	SINGLE VEHICLE	RAINING	OTHER	DAYLIGHT	NO CONTROLS	OTHER	9B53DFD0-57CF-44BA-8880-1DF8EDC895E0	Yes	NO APPARENT INJURY	LOOKED BUT DID NOT SEE	ECC2AEC6-52E6-43E4-9C36-C9B5D40289D0	DISABLING	PARKING	15	No	2015	GMC	TK	NO MISUSE	MD	PASSENGER CAR	UNKNOWN
HA2485000S	22002124	Maryland-National Capital	Property Damage Crash	2022-12-07T11:10:00.000	Government	OTHER	RAINING	WET	DAYLIGHT	NO CONTROLS	NONE DETECTED	14C076DF-D5A8-4455-B5EB-A5A024F5328A	UNKNOWN	NO APPARENT INJURY	NOT DISTRACTED	B0363EF0-77AD-429D-AE52-1165387F766D	FUNCTIONAL	MOVING CONSTANT SPEED	25	No	2016	RAM	VN	NO MISUSE	MD	VAN	UNKNOWN
