report_number	local_case_number	agency_name	acrs_report_type	crash_date_time	hit_run	at_fault	collision_type	weather	surface_condition	light	driver_substance_abuse	fixed_oject_struck	road_condition	lane_type	related_non_motorist	non_motorist_substance_abuse
MCP3342000L	220051100	Montgomery County Police	Injury Crash	2022-11-18T19:20:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK NO LIGHTS	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP295400CH	220051098	Montgomery County Police	Property Damage Crash	2022-11-18T19:14:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DARK LIGHTS ON	ALCOHOL PRESENT, NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP27800065	220051094	Montgomery County Police	Injury Crash	2022-11-18T19:05:00.000	No	DRIVER	SAME DIR REAR END	CLOUDY	DRY	DARK LIGHTS ON	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2723006R	220051090	Montgomery County Police	Property Damage Crash	2022-11-18T18:50:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP30510060	220051091	Montgomery County Police	Property Damage Crash	2022-11-18T18:50:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	CROSSOVER AREA	OTHER	UNKNOWN
MCP3192003B	220051089	Montgomery County Police	Injury Crash	2022-11-18T18:48:00.000	No	DRIVER	OTHER	CLEAR	OTHER	DARK LIGHTS ON	NONE DETECTED	LIGHT SUPPORT POLE	OTHER	OTHER	OTHER	UNKNOWN
MCP93900020	220051081	Montgomery County Police	Injury Crash	2022-11-18T18:03:00.000	No	DRIVER	SAME DIR REAR END	OTHER	DRY	DARK NO LIGHTS	UNKNOWN, NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3063003N	220051088	Montgomery County Police	Property Damage Crash	2022-11-18T17:43:00.000	Yes	DRIVER	SAME DIR BOTH LEFT TURN	CLEAR	OTHER	DARK LIGHTS ON	NONE DETECTED, UNKNOWN	OTHER	OTHER	OTHER	OTHER	UNKNOWN
DD5642003Z	220051046	Rockville Police Departme	Property Damage Crash	2022-11-18T15:13:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3328001D	220051067	Montgomery County Police	Property Damage Crash	2022-11-18T14:30:00.000	Yes	DRIVER	SAME DIR REND LEFT TURN	CLEAR	DRY	DAYLIGHT	NONE DETECTED, UNKNOWN	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP31970035	220051045	Montgomery County Police	Property Damage Crash	2022-11-18T12:52:00.000	Yes	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
HA2484000V	22002017	Maryland-National Capital	Injury Crash	2022-11-18T11:00:00.000	No	DRIVER	SAME DIR REND RIGHT TURN	CLEAR	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3280002R	220050990	Montgomery County Police	Injury Crash	2022-11-18T10:28:00.000	No	DRIVER	OTHER	CLEAR	OTHER	DAYLIGHT	NONE DETECTED	OTHER	OTHER	OTHER	PEDESTRIAN	NONE DETECTED
MCP3201003B	220050988	Montgomery County Police	Property Damage Crash	2022-11-18T09:56:00.000	Yes	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	OTHER	DAYLIGHT	NONE DETECTED	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP2902005R	220050982	Montgomery County Police	Property Damage Crash	2022-11-18T09:00:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP1113004L	220050978	Montgomery County Police	Property Damage Crash	2022-11-18T08:38:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP0617004P	220050979	Montgomery County Police	Property Damage Crash	2022-11-18T08:37:00.000	No	DRIVER	SAME DIR REAR END	OTHER	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP28810051	220050972	Montgomery County Police	Property Damage Crash	2022-11-18T07:50:00.000	No	DRIVER	OPPOSITE DIR BOTH LEFT TURN	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP23860023	220050963	Montgomery County Police	Property Damage Crash	2022-11-18T00:25:00.000	No	UNKNOWN	SINGLE VEHICLE	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	ON RAMP	OTHER	UNKNOWN
MCP28100024	220050950	Montgomery County Police	Property Damage Crash	2022-11-17T22:15:00.000	No	DRIVER	SAME DIRECTION LEFT TURN	CLEAR	DRY	DARK LIGHTS ON	ALCOHOL PRESENT, UNKNOWN	GUARDRAIL OR BARRIER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP31580045	220050948	Montgomery County Police	Injury Crash	2022-11-17T22:03:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2932005P	220050946	Montgomery County Police	Property Damage Crash	2022-11-17T21:36:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3230003T	220050930	Montgomery County Police	Injury Crash	2022-11-17T19:35:00.000	Yes	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP32320038	220050928	Montgomery County Police	Property Damage Crash	2022-11-17T19:18:00.000	No	DRIVER	HEAD ON LEFT TURN	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP28100023	220050922	Montgomery County Police	Injury Crash	2022-11-17T18:58:00.000	No	DRIVER	HEAD ON LEFT TURN	CLEAR	DRY	DARK NO LIGHTS	UNKNOWN, NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2861005L	220050916	Montgomery County Police	Property Damage Crash	2022-11-17T17:59:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	DRY	DARK LIGHTS ON	ALCOHOL PRESENT	DITCH	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP219800C7	220050904	Montgomery County Police	Property Damage Crash	2022-11-17T17:13:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	OTHER	OTHER	NO DEFECTS	ON RAMP	OTHER	UNKNOWN
MCP2708007X	220050901	Montgomery County Police	Injury Crash	2022-11-17T17:08:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3019005G	220050883	Montgomery County Police	Property Damage Crash	2022-11-17T15:45:00.000	Yes	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	OTHER	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP3163004Y	220050892	Montgomery County Police	Property Damage Crash	2022-11-17T15:26:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2921004J	220050877	Montgomery County Police	Property Damage Crash	2022-11-17T15:12:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	OTHER	LIGHT SUPPORT POLE	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2622003H	220050834	Montgomery County Police	Injury Crash	2022-11-17T13:17:00.000	No	DRIVER	HEAD ON	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2291006G	220050841	Montgomery County Police	Property Damage Crash	2022-11-17T13:02:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2837004S	220050837	Montgomery County Police	Property Damage Crash	2022-11-17T12:59:00.000	No	DRIVER	OTHER	OTHER	OTHER	DAYLIGHT	UNKNOWN, NONE DETECTED	OTHER	OTHER	OTHER	OTHER	UNKNOWN
HA2485000Q	22002011	Maryland-National Capital	Property Damage Crash	2022-11-17T12:00:00.000	Yes	UNKNOWN	SAME DIR BOTH LEFT TURN	CLEAR	DRY	DAYLIGHT	NONE DETECTED, UNKNOWN	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3214001V	220050821	Montgomery County Police	Property Damage Crash	2022-11-17T11:24:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3010007M	220050630	Montgomery County Police	Property Damage Crash	2022-11-17T11:01:00.000	Yes	DRIVER	OTHER	OTHER	OTHER	DAYLIGHT	OTHER	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP2689008Z	220050815	Montgomery County Police	Injury Crash	2022-11-17T10:33:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3239002L	220050816	Montgomery County Police	Injury Crash	2022-11-17T10:21:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3048008Y	220050808	Montgomery County Police	Property Damage Crash	2022-11-17T09:50:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3055003T	220050803	Montgomery County Police	Injury Crash	2022-11-17T09:41:00.000	No	UNKNOWN	HEAD ON LEFT TURN	CLEAR	DRY	DAYLIGHT	OTHER	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP133400C5	220050805	Montgomery County Police	Property Damage Crash	2022-11-17T09:25:00.000	No	DRIVER	OPPOSITE DIRECTION SIDESWIPE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
DD5652001T	220050798	Rockville Police Departme	Property Damage Crash	2022-11-17T09:19:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2203006K	220050795	Montgomery County Police	Injury Crash	2022-11-17T09:15:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	UNKNOWN, NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP235300B8	220050796	Montgomery County Police	Injury Crash	2022-11-17T09:03:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLOUDY	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP1301001Z	220050810	Montgomery County Police	Fatal Crash	2022-11-17T08:29:00.000	No	UNKNOWN	SINGLE VEHICLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	RIGHT TURN LANE	PEDESTRIAN	UNKNOWN
MCP102200GL	220050793	Montgomery County Police	Property Damage Crash	2022-11-17T08:22:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	OTHER	DAYLIGHT	NONE DETECTED	LIGHT SUPPORT POLE	OTHER	OTHER	OTHER	UNKNOWN
MCP2902005Q	220050788	Montgomery County Police	Property Damage Crash	2022-11-17T08:11:00.000	No	DRIVER	SAME DIRECTION RIGHT TURN	CLEAR	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3123004V	220050782	Montgomery County Police	Property Damage Crash	2022-11-17T06:52:00.000	No	DRIVER	OTHER	CLEAR	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP1235004H	220050738	Montgomery County Police	Property Damage Crash	2022-11-16T21:09:00.000	No	UNKNOWN	OTHER	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP291400D3	220050760	Montgomery County Police	Injury Crash	2022-11-16T20:30:00.000	No	DRIVER	OTHER	CLEAR	DRY	DARK LIGHTS ON	OTHER	OTHER	NO DEFECTS	OTHER	PEDESTRIAN	UNKNOWN
MCP3230003S	220050726	Montgomery County Police	Injury Crash	2022-11-16T19:00:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP27660072	220050728	Montgomery County Police	Injury Crash	2022-11-16T18:55:00.000	Yes	DRIVER	SAME DIR REAR END	OTHER	DRY	DARK LIGHTS ON	NONE DETECTED, UNKNOWN	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3079004R	220050723	Montgomery County Police	Property Damage Crash	2022-11-16T18:20:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP27380049	220050758	Montgomery County Police	Injury Crash	2022-11-16T18:00:00.000	No	UNKNOWN	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP27660071	220050705	Montgomery County Police	Property Damage Crash	2022-11-16T16:03:00.000	Yes	DRIVER	SAME DIR REAR END	FOGGY	DRY	DAYLIGHT	NONE DETECTED	OTHER POLE	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2756004M	220050704	Montgomery County Police	Property Damage Crash	2022-11-16T16:00:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3230003R	220050698	Montgomery County Police	Property Damage Crash	2022-11-16T15:45:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2215001Z	220050696	Montgomery County Police	Property Damage Crash	2022-11-16T15:27:00.000	Yes	UNKNOWN	OTHER	CLEAR	OTHER	DAYLIGHT	NONE DETECTED	OTHER	OTHER	OTHER	PEDESTRIAN	NONE DETECTED
MCP2215001Y	220050695	Montgomery County Police	Property Damage Crash	2022-11-16T15:27:00.000	Yes	DRIVER	OTHER	CLEAR	OTHER	DAYLIGHT	NONE DETECTED	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP21870018	220050689	Montgomery County Police	Property Damage Crash	2022-11-16T14:40:00.000	Yes	DRIVER	HEAD ON LEFT TURN	CLOUDY	OTHER	DAYLIGHT	UNKNOWN, NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP24560072	220050687	Montgomery County Police	Property Damage Crash	2022-11-16T14:30:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP287700B8	220050683	Montgomery County Police	Property Damage Crash	2022-11-16T14:00:00.000	No	DRIVER	OTHER	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP93010045	220050657	Montgomery County Police	Property Damage Crash	2022-11-16T14:00:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	CROSSOVER AREA	OTHER	UNKNOWN
DD5652001S	220050664	Rockville Police Departme	Property Damage Crash	2022-11-16T13:32:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP32010038	220050666	Montgomery County Police	Property Damage Crash	2022-11-16T13:30:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP22980120	220050661	Montgomery County Police	Property Damage Crash	2022-11-16T12:58:00.000	No	DRIVER	OTHER	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2347003W	220050633	Montgomery County Police	Injury Crash	2022-11-16T11:45:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2753005X	220050618	Montgomery County Police	Property Damage Crash	2022-11-16T10:50:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP32380021	220050613	Montgomery County Police	Injury Crash	2022-11-16T10:41:00.000	No	NONMOTORIST	OTHER	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER CONVEYANCE	NONE DETECTED
MCP289100BV	220050591	Montgomery County Police	Property Damage Crash	2022-11-16T08:24:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP3130005M	220050594	Montgomery County Police	Injury Crash	2022-11-16T08:07:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	DRY	OTHER	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3010007L	220050586	Montgomery County Police	Injury Crash	2022-11-16T07:58:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	WET	DAYLIGHT	OTHER	OTHER	OTHER	OTHER	OTHER	UNKNOWN
DD559500C8	220050585	Rockville Police Departme	Injury Crash	2022-11-16T07:50:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	CLEAR	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP20720066	220050584	Montgomery County Police	Property Damage Crash	2022-11-16T07:14:00.000	Yes	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED, UNKNOWN	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2622003G	220050582	Montgomery County Police	Injury Crash	2022-11-16T07:07:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	WET	DAYLIGHT	NONE DETECTED	FENCE	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3129005C	220050583	Montgomery County Police	Property Damage Crash	2022-11-16T06:28:00.000	No	DRIVER	SINGLE VEHICLE	FOGGY	DRY	DAWN	NONE DETECTED	CURB	NO DEFECTS	CROSSOVER AREA	OTHER	UNKNOWN
MCP2800005N	220050566	Montgomery County Police	Property Damage Crash	2022-11-15T22:09:00.000	No	DRIVER	SINGLE VEHICLE	RAINING	WET	DARK LIGHTS ON	ALCOHOL PRESENT	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ7893001Y	220050558	Gaithersburg Police Depar	Injury Crash	2022-11-15T21:05:00.000	No	NONMOTORIST	OTHER	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	PEDESTRIAN	NONE DETECTED
EJ78990005	220050547	Gaithersburg Police Depar	Injury Crash	2022-11-15T19:25:00.000	No	DRIVER	SINGLE VEHICLE	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP289200D1	220050548	Montgomery County Police	Property Damage Crash	2022-11-15T19:22:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2686005Q	220050552	Montgomery County Police	Injury Crash	2022-11-15T19:10:00.000	No	DRIVER	SINGLE VEHICLE	RAINING	WET	DARK NO LIGHTS	NONE DETECTED	OTHER	OTHER	OTHER	PEDESTRIAN	NONE DETECTED
MCP3174003K	220050546	Montgomery County Police	Property Damage Crash	2022-11-15T19:08:00.000	No	UNKNOWN	HEAD ON LEFT TURN	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3256001P	220050543	Montgomery County Police	Property Damage Crash	2022-11-15T19:07:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP32270042	220050540	Montgomery County Police	Property Damage Crash	2022-11-15T19:02:00.000	No	DRIVER	SAME DIR REAR END	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP12200097	220050542	Montgomery County Police	Property Damage Crash	2022-11-15T18:58:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2159000W	220050557	Montgomery County Police	Property Damage Crash	2022-11-15T18:57:00.000	Yes	DRIVER	OTHER	RAINING	WET	DARK -- UNKNOWN LIGHTING	NONE DETECTED, UNKNOWN	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP2298011Y	220050532	Montgomery County Police	Property Damage Crash	2022-11-15T18:10:00.000	No	DRIVER	SINGLE VEHICLE	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	OTHER POLE	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP31210051	220050528	Montgomery County Police	Injury Crash	2022-11-15T17:44:00.000	No	DRIVER	SINGLE VEHICLE	RAINING	WET	DARK NO LIGHTS	NONE DETECTED	OTHER	NO DEFECTS	OTHER	PEDESTRIAN	NONE DETECTED
MCP30380061	220050520	Montgomery County Police	Injury Crash	2022-11-15T17:25:00.000	No	DRIVER	OTHER	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	PEDESTRIAN	NONE DETECTED
MCP2846008C	220050515	Montgomery County Police	Injury Crash	2022-11-15T17:20:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP23950027	220050524	Montgomery County Police	Injury Crash	2022-11-15T17:15:00.000	No	DRIVER	SINGLE VEHICLE	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	OTHER POLE	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP28100021	220050516	Montgomery County Police	Property Damage Crash	2022-11-15T17:10:00.000	No	DRIVER	HEAD ON LEFT TURN	RAINING	WET	DARK LIGHTS ON	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3005006X	220050517	Montgomery County Police	Injury Crash	2022-11-15T17:05:00.000	No	UNKNOWN	SINGLE VEHICLE	RAINING	WET	DARK NO LIGHTS	NONE DETECTED	OTHER	NO DEFECTS	OTHER	BICYCLIST	NONE DETECTED
MCP2564002Z	220050510	Montgomery County Police	Injury Crash	2022-11-15T16:56:00.000	No	DRIVER	SAME DIR REAR END	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2798005C	220050333	Montgomery County Police	Injury Crash	2022-11-15T16:28:00.000	No	DRIVER	OTHER	OTHER	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	RIGHT TURN LANE	PEDESTRIAN	NONE DETECTED
MCP32550049	220050505	Montgomery County Police	Property Damage Crash	2022-11-15T16:00:00.000	No	DRIVER	SAME DIR REAR END	RAINING	WET	DARK LIGHTS ON	OTHER	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3037004G	220050498	Montgomery County Police	Property Damage Crash	2022-11-15T16:00:00.000	Yes	DRIVER	SAME DIRECTION SIDESWIPE	RAINING	WET	DAYLIGHT	NONE DETECTED, UNKNOWN	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3245003Y	220050502	Montgomery County Police	Property Damage Crash	2022-11-15T15:57:00.000	No	DRIVER	OTHER	RAINING	OTHER	DAYLIGHT	NONE DETECTED	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP263900FB	220050494	Montgomery County Police	Property Damage Crash	2022-11-15T14:57:00.000	No	DRIVER	OTHER	RAINING	OTHER	DAYLIGHT	NONE DETECTED	OTHER	OTHER	OTHER	OTHER	UNKNOWN
EJ78990004	220050487	Gaithersburg Police Depar	Injury Crash	2022-11-15T14:49:00.000	No	DRIVER	HEAD ON LEFT TURN	RAINING	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	LEFT TURN LANE	OTHER	UNKNOWN
MCP2821002N	220050750	Montgomery County Police	Injury Crash	2022-11-15T14:25:00.000	Yes	DRIVER	OTHER	OTHER	OTHER	DAYLIGHT	OTHER	OTHER	OTHER	OTHER	PEDESTRIAN	UNKNOWN
DD5583007P	220050486	Rockville Police Departme	Property Damage Crash	2022-11-15T14:04:00.000	Yes	DRIVER	OTHER	RAINING	OTHER	DAYLIGHT	OTHER	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP0617004N	220050474	Montgomery County Police	Injury Crash	2022-11-15T13:44:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	RAINING	OTHER	DAYLIGHT	NONE DETECTED	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP3048008X	220050466	Montgomery County Police	Property Damage Crash	2022-11-15T12:30:00.000	No	UNKNOWN	HEAD ON LEFT TURN	RAINING	WET	DAYLIGHT	OTHER	OTHER	OTHER	OTHER	OTHER	UNKNOWN
DD5520001J	220050459	Rockville Police Departme	Injury Crash	2022-11-15T12:25:00.000	No	DRIVER	STRAIGHT MOVEMENT ANGLE	RAINING	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
DD5651002D	220050454	Rockville Police Departme	Property Damage Crash	2022-11-15T12:00:00.000	No	DRIVER	HEAD ON LEFT TURN	SLEET	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
HA24970004	22002000	Maryland-National Capital	Property Damage Crash	2022-11-15T11:42:00.000	No	DRIVER	SAME DIRECTION RIGHT TURN	RAINING	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2203006J	220050446	Montgomery County Police	Property Damage Crash	2022-11-15T11:10:00.000	Yes	DRIVER	ANGLE MEETS LEFT TURN	CLEAR	OTHER	DAYLIGHT	NONE DETECTED	OTHER	OTHER	OTHER	OTHER	UNKNOWN
