report_number	local_case_number	agency_name	acrs_report_type	crash_date_time	hit_run	at_fault	collision_type	weather	surface_condition	light	driver_substance_abuse	fixed_oject_struck	road_condition	lane_type	related_non_motorist	non_motorist_substance_abuse
MCP27610044	220053449	Montgomery County Police	Property Damage Crash	2022-12-03T12:00:00.000	Yes	DRIVER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP2270000G	220053401	Montgomery County Police	Property Damage Crash	2022-12-03T12:00:00.000	Yes	DRIVER	STRAIGHT MOVEMENT ANGLE	RAINING	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2270000F	220053376	Montgomery County Police	Property Damage Crash	2022-12-03T11:30:00.000	No	DRIVER	SAME DIR REAR END	CLOUDY	WET	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ7888003C	220053383	Gaithersburg Police Depar	Property Damage Crash	2022-12-03T11:00:00.000	Yes	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	OTHER	DAYLIGHT	OTHER	OTHER	OTHER	OTHER	OTHER	UNKNOWN
MCP3201003J	220053352	Montgomery County Police	Property Damage Crash	2022-12-03T08:03:00.000	No	DRIVER	SINGLE VEHICLE	RAINING	WET	DAYLIGHT	NONE DETECTED	CURB	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3164006F	220053350	Montgomery County Police	Property Damage Crash	2022-12-03T06:50:00.000	No	DRIVER	HEAD ON LEFT TURN	RAINING	WET	DUSK	NONE DETECTED	OTHER	NO DEFECTS	LEFT TURN LANE	OTHER	UNKNOWN
DD561500DR	220053345	Rockville Police Departme	Property Damage Crash	2022-12-03T05:00:00.000	No	DRIVER	SINGLE VEHICLE	RAINING	WET	DARK LIGHTS ON	NONE DETECTED	TREE SHRUBBERY	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ7869003C	220053324	Gaithersburg Police Depar	Property Damage Crash	2022-12-03T00:08:00.000	Yes	UNKNOWN	SINGLE VEHICLE	CLEAR	DRY	DARK -- UNKNOWN LIGHTING	OTHER	TREE SHRUBBERY	NO DEFECTS	OTHER	OTHER	UNKNOWN
EJ7871005Z	220053312	Gaithersburg Police Depar	Property Damage Crash	2022-12-02T22:17:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DARK LIGHTS ON	ALCOHOL PRESENT, UNKNOWN	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3161004J	220053296	Montgomery County Police	Injury Crash	2022-12-02T20:11:00.000	No	DRIVER	SINGLE VEHICLE	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3337000W	220053290	Montgomery County Police	Property Damage Crash	2022-12-02T19:43:00.000	No	DRIVER	HEAD ON LEFT TURN	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP1512003X	220053282	Montgomery County Police	Property Damage Crash	2022-12-02T18:25:00.000	No	DRIVER	SAME DIRECTION SIDESWIPE	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP1252001K	220053281	Montgomery County Police	Property Damage Crash	2022-12-02T17:34:00.000	No	DRIVER	SAME DIRECTION RIGHT TURN	CLEAR	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP24500045	220053268	Montgomery County Police	Injury Crash	2022-12-02T17:16:00.000	No	DRIVER	HEAD ON LEFT TURN	OTHER	DRY	DARK LIGHTS ON	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP31680050	220053267	Montgomery County Police	Property Damage Crash	2022-12-02T16:40:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	ALCOHOL PRESENT	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP295400CK	220053255	Montgomery County Police	Property Damage Crash	2022-12-02T16:18:00.000	No	DRIVER	SAME DIR REAR END	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP2863002L	220053253	Montgomery County Police	Property Damage Crash	2022-12-02T15:45:00.000	No	UNKNOWN	OTHER	CLEAR	DRY	DAYLIGHT	NONE DETECTED	OTHER	NO DEFECTS	OTHER	OTHER	UNKNOWN
MCP3125003X	220053266	Montgomery County Police	Property Damage Crash	2022-12-02T15:27:00.000	Yes	DRIVER	HEAD ON LEFT TURN	CLEAR	DRY	DAYLIGHT	OTHER	OTHER	NO DEFECTS	LEFT TURN LANE	OTHER	UNKNOWN
